27.625C	     2018-07-21 13:39:18.597756
27.437C	     2018-07-21 13:39:29.477758
27.875C	     2018-07-21 13:39:40.357739
28.312C	     2018-07-21 13:39:51.237752
29.5C	     2018-07-21 13:40:02.117772
31.875C	     2018-07-21 13:40:12.997763
32.687C	     2018-07-21 13:40:23.877738
32.312C	     2018-07-21 13:40:34.757754
31.687C	     2018-07-21 13:40:45.637724
31.0C	     2018-07-21 13:40:56.517760
30.375C	     2018-07-21 13:41:07.397771
29.937C	     2018-07-21 13:41:18.277750
29.5C	     2018-07-21 13:41:29.157738
29.187C	     2018-07-21 13:41:40.037767
28.875C	     2018-07-21 13:41:50.917755
28.562C	     2018-07-21 13:42:01.797764
28.312C	     2018-07-21 13:42:12.677763
28.062C	     2018-07-21 13:42:23.557781
27.812C	     2018-07-21 13:42:34.437765
27.625C	     2018-07-21 13:42:45.317729
27.375C	     2018-07-21 13:42:56.197744
27.187C	     2018-07-21 13:43:07.077718
29.375C	     2018-07-27 17:34:10.437179
29.312C	     2018-07-27 17:34:21.392214
29.312C	     2018-07-27 17:34:32.272257
32.062C	     2018-07-31 21:45:32.705142
32.125C	     2018-07-31 21:45:44.624907
32.125C	     2018-07-31 21:45:55.504899
32.125C	     2018-07-31 21:46:06.384880
32.125C	     2018-07-31 21:46:17.264900
32.125C	     2018-07-31 21:46:28.144892
32.125C	     2018-07-31 21:46:39.024894
32.125C	     2018-07-31 21:46:49.904895
32.125C	     2018-07-31 21:47:00.784899
32.125C	     2018-07-31 21:47:11.664920
32.125C	     2018-07-31 21:47:22.544861
32.125C	     2018-07-31 21:47:33.424875
32.125C	     2018-07-31 21:47:44.305235
32.125C	     2018-07-31 21:47:55.184902
32.125C	     2018-07-31 21:48:06.064880
32.125C	     2018-07-31 21:48:16.944892
32.125C	     2018-07-31 21:48:27.824901
32.125C	     2018-07-31 21:48:38.704881
32.125C	     2018-07-31 21:48:49.584891
32.125C	     2018-07-31 21:49:00.464890
32.125C	     2018-07-31 21:49:11.344920
32.125C	     2018-07-31 21:49:22.224895
32.125C	     2018-07-31 21:49:33.104895
32.125C	     2018-07-31 21:49:43.984892
32.125C	     2018-07-31 21:49:54.864932
32.125C	     2018-07-31 21:50:05.744892
32.125C	     2018-07-31 21:50:16.624899
32.125C	     2018-07-31 21:50:27.505224
32.125C	     2018-07-31 21:50:38.384921
32.125C	     2018-07-31 21:50:49.264910
32.125C	     2018-07-31 21:51:00.144946
32.125C	     2018-07-31 21:51:11.024911
32.125C	     2018-07-31 21:51:21.905226
32.125C	     2018-07-31 21:51:32.784882
32.187C	     2018-07-31 21:51:43.664863
32.187C	     2018-07-31 21:51:54.544880
32.187C	     2018-07-31 21:52:05.424894
32.187C	     2018-07-31 21:52:16.304909
32.187C	     2018-07-31 21:52:27.184890
32.187C	     2018-07-31 21:52:38.064896
